id,name,location,type,rating,year,img,link,lat,lng
2713,After Seven,Zermatt,Creative,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/73119d6cc7394718bc707d9b8ae938b2"" width=""362"" height=""203",https://guide.michelin.com//en/wallis/zermatt/restaurant/after-seven,46.021962,7.747862
2714,Torkel,Vaduz,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ee6071f875854d668785b2ca54c7744a"" width=""362"" height=""203",https://guide.michelin.com//en/liechtenstein-region/vaduz/restaurant/torkel,47.144119,9.519663
2715,Talvo by Dalsass,Saint Moritz,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/eb1c9af47ea14da3ad4dd8c1db2e2e53"" width=""362"" height=""203",https://guide.michelin.com//en/graubunden/sankt-moritz/restaurant/talvo-by-dalsass,46.478305,9.811448
2716,Le Murenberg,Bubendorf,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d3de8429ec1543228fbd5224e4954e0e"" width=""362"" height=""203",https://guide.michelin.com//en/basel-landschaft/bubendorf/restaurant/le-murenberg,47.454522,7.738697
2717,Taverne zum Schäfli,Wigoltingen,Classic French,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/59ef34abeb064c8f91ed6922fc84bf6c"" width=""362"" height=""203",https://guide.michelin.com//en/thurgau/wigoltingen/restaurant/taverne-zum-schafli,47.595742,9.032582
2718,Ecco St. Moritz,Saint Moritz,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/20dfe6caf7c0438f86609c35ef07d8cb"" width=""362"" height=""203",https://guide.michelin.com//en/graubunden/sankt-moritz/restaurant/ecco-st-moritz,46.477649,9.810913
2719,Schlüssel,Oberwil,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f4b3f9e4c2dd4faeaa3788c246beee35"" width=""362"" height=""203",https://guide.michelin.com//en/basel-landschaft/oberwil/restaurant/schlussel,47.514027,7.556021
2720,Cheval Blanc by Peter Knogl,Basel,Classic French,3,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/08165a4821af41dba5d7b20a2f1256ea"" width=""362"" height=""203",https://guide.michelin.com//en/basel-stadt/basel/restaurant/cheval-blanc-by-peter-knogl,47.560426,7.587571
2721,Locanda Barbarossa,Ascona,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/14c25a979c6c42079b17109213522f4e"" width=""362"" height=""203",https://guide.michelin.com//en/ticino/ascona/restaurant/locanda-barbarossa,46.151908,8.792847
2722,Ecco,Ascona,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/de9d716c8d55463e8bd6bea1750aa3a3"" width=""362"" height=""203",https://guide.michelin.com//en/ticino/ascona/restaurant/ecco,46.150245,8.790446
2723,Sonne,Wengi bei Büren,French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4b173791a82041368ba2469627aadec5"" width=""362"" height=""203",https://guide.michelin.com//en/bern-region/wengi-bei-buren/restaurant/sonne180069,47.08863,7.375666
2724,Alpenblick - Stuba,Adelboden,Modern Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5c4e1632820f4b61be32773eca87abe4"" width=""362"" height=""203",https://guide.michelin.com//en/bern-region/adelboden/restaurant/alpenblick,46.493668,7.560829
2725,Locanda Orico,Bellinzona,Mediterranean Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/8c67309bab7446d481b1c4fc9b7bfe96"" width=""362"" height=""203",https://guide.michelin.com//en/ticino/bellinzona/restaurant/locanda-orico,46.192106,9.018948
2726,Du Cerf,Sonceboz,Classic French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/012ff4244a0149b9a510b5ee350ce977"" width=""362"" height=""203",https://guide.michelin.com//en/bern-region/sonceboz/restaurant/du-cerf,47.196357,7.178227
2727,Stucki - Tanja Grandits,Basel,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/eaf9db079fee421abc3ab53194c2d111"" width=""362"" height=""203",https://guide.michelin.com//en/basel-stadt/basel/restaurant/stucki-tanja-grandits,47.533686,7.586911
2728,Regina Montium,Rigi Kaltbad,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1dc0c62c1c254a5d8c0873031f9b30ba"" width=""362"" height=""203",https://guide.michelin.com//en/luzern-region/rigi-kaltbad/restaurant/regina-montium,47.048371,8.464154
2729,Fahr,Künten-Sulz,Regional Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4f46578e35574909acf0524ceeca76bb"" width=""362"" height=""203",https://guide.michelin.com//en/aargau-region/kunten-sulz/restaurant/fahr,47.377839,8.321019
2730,Neue Taverne,Zurich,Vegetarian,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3c9006fad7c54fc99c2451b53d2bb534"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/neue-taverne,47.372108,8.540317
2731,Chesa Stüva Colani,Madulain,Innovative,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3ba848ba1ea44fa0a88e11251a36977d"" width=""362"" height=""203",https://guide.michelin.com//en/graubunden/madulain/restaurant/chesa-stuva-colani,46.586082,9.937879
2732,KLE,Zurich,Vegan,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b663e112b0334cadb95d92d6b89ce9bb"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/kle,47.371503,8.520966
2733,GÜTSCH by Markus Neff,Andermatt,Classic French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7df4ae56b8aa473bbbe3a5f4e589b59f"" width=""362"" height=""203",https://guide.michelin.com//en/uri/andermatt/restaurant/gutsch-by-markus-neff,46.655933,8.627526
2734,Magdalena,Schwyz,Modern Cuisine,3,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7defae6808564bfeb3a2a742938f022d"" width=""362"" height=""203",https://guide.michelin.com//en/schwyz/schwyz/restaurant/magdalena,47.016919,8.66598
2735,La Pinte des Mossettes,Cerniat,Creative,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/419bf5f0cb784eefb2c7d359fbe75fbc"" width=""362"" height=""203",https://guide.michelin.com//en/fribourg-region/cerniat/restaurant/la-pinte-des-mossettes-1194720,46.653577,7.196424
2736,OZ,Fürstenau,Vegetarian,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/cc0487fa2123415785987c982d3c1250"" width=""362"" height=""203",https://guide.michelin.com//en/graubunden/frstenau/restaurant/oz,46.721096,9.44612
2737,Sushi Shin,Zurich,Japanese Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/63ca205b2aa944a5ac3d17b07a6b466c"" width=""362"" height=""203",https://guide.michelin.com//en/zurich-region/zurich/restaurant/sushi-shin,47.370538,8.541524
2738,Bad Balgach by Schützelhofer,Balgach,Classic Cuisine,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4b488e1859854f82b766db7f74517a49"" width=""362"" height=""203",https://guide.michelin.com//en/sankt-gallen-region/balgach/restaurant/bad-balgach-by-schutzelhofer,47.403692,9.600491
2739,Colonnade,Lucerne,Modern French,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7c63138a53244eb3b50837cb264efdf9"" width=""362"" height=""203",https://guide.michelin.com//en/luzern-region/luzern/restaurant/colonnade,47.055239,8.31977
2740,Skin's - the restaurant,Lenzburg,Modern Cuisine,2,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/33d7617e8ba046fdbb93783dbcb6f99b"" width=""362"" height=""203",https://guide.michelin.com//en/aargau-region/lenzburg/restaurant/skin-s-the-restaurant,47.39081,8.172959
2741,Osteria Enoteca Cuntitt,Castel San Pietro,Italian Contemporary,1,,"https://axwwgrkdco.cloudimg.io/v7/__gmpics__/170e5dd81119416b9b5e2af48e178b1b"" width=""362"" height=""203",https://guide.michelin.com//en/ticino/castel-san-pietro/restaurant/osteria-enoteca-cuntitt,45.860079,9.008847
